#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:1013088-1014413|+  -            442 18426at72274         -            352  3.5e-171  567.7   0.1   1   1    4e-173  2.9e-170  564.7   0.1     1   351    12   424    12   425 0.88 2_952 # 1013088 # 1014413 # 1 # ID=2_952;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.666
2:3853653-3856217|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   1   3   0.00096      0.71    7.6   0.0    10    60   176   223   167   237 0.74 2_3593 # 3853653 # 3856217 # -1 # ID=2_3593;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.653
2:3853653-3856217|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   2   3       2.5   1.8e+03   -3.7   0.0    79    88   274   283   262   316 0.80 2_3593 # 3853653 # 3856217 # -1 # ID=2_3593;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.653
2:3853653-3856217|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   3   3   0.00063      0.46    8.2   0.0    37    60   599   622   560   636 0.73 2_3593 # 3853653 # 3856217 # -1 # ID=2_3593;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.653
2:703242-704159|+    -            306 18426at72274         -            352    0.0026   15.6   0.1   1   3    0.0097       7.1    4.3   0.0    20    60    16    57     9    64 0.70 2_648 # 703242 # 704159 # 1 # ID=2_648;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.693
2:703242-704159|+    -            306 18426at72274         -            352    0.0026   15.6   0.1   2   3   0.00043      0.32    8.7   0.0    78   111    98   132    95   153 0.84 2_648 # 703242 # 704159 # 1 # ID=2_648;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.693
2:703242-704159|+    -            306 18426at72274         -            352    0.0026   15.6   0.1   3   3       1.8   1.4e+03   -3.2   0.0    94   119   216   238   212   266 0.66 2_648 # 703242 # 704159 # 1 # ID=2_648;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.693
2:5159179-5161887|+  -            903 18426at72274         -            352     0.013   13.2   0.1   1   2    0.0039       2.8    5.6   0.0     2    54   199   248   198   258 0.83 2_4744 # 5159179 # 5161887 # 1 # ID=2_4744;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.684
2:5159179-5161887|+  -            903 18426at72274         -            352     0.013   13.2   0.1   2   2    0.0055         4    5.1   0.0    13    60   604   657   596   675 0.71 2_4744 # 5159179 # 5161887 # 1 # ID=2_4744;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.684
2:159296-160411|+    -            372 18426at72274         -            352     0.033   12.0   0.0   1   1   9.6e-05     0.071   10.8   0.0    13    61    60   114    51   117 0.71 2_155 # 159296 # 160411 # 1 # ID=2_155;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.686
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/18426at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:50:19 2024
# [ok]
