#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:4541304-4541723|-  -            140 56209at72274         -            137   1.7e-63  211.0   0.1   1   1     2e-66   1.9e-63  210.9   0.1     2   137     4   139     3   139 0.99 2_4191 # 4541304 # 4541723 # -1 # ID=2_4191;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
2:2678905-2679759|+  -            285 56209at72274         -            137    0.0022   16.3   0.0   1   3       1.8   1.7e+03   -2.8   0.0    38    59     7    28     3    51 0.62 2_2468 # 2678905 # 2679759 # 1 # ID=2_2468;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.691
2:2678905-2679759|+  -            285 56209at72274         -            137    0.0022   16.3   0.0   2   3   0.00028      0.26    9.6   0.0    94   135    92   136    68   138 0.74 2_2468 # 2678905 # 2679759 # 1 # ID=2_2468;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.691
2:2678905-2679759|+  -            285 56209at72274         -            137    0.0022   16.3   0.0   3   3     0.016        15    3.9   0.0    69   128   211   272   200   276 0.80 2_2468 # 2678905 # 2679759 # 1 # ID=2_2468;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.691
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56209at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/56209at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56209at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:51:27 2024
# [ok]
