#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4997100-4998059|-  -            320 30337at72274         -            247  2.6e-128  425.2   9.3   1   1  3.8e-130  3.5e-127  421.5   9.3     1   246    29   315    29   316 0.93 1_4600 # 4997100 # 4998059 # -1 # ID=1_4600;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
1:1977272-1978711|-  -            480 30337at72274         -            247    0.0079   14.2   0.0   2   2     0.082        76    1.1   0.0   181   220   167   211   160   249 0.75 1_1819 # 1977272 # 1978711 # -1 # ID=1_1819;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.664
1:1465009-1465830|-  -            274 30337at72274         -            247     0.058   11.4   0.0   1   2   0.00039      0.36    8.7   0.0   101   125   123   149    70   161 0.75 1_1380 # 1465009 # 1465830 # -1 # ID=1_1380;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.663
1:1465009-1465830|-  -            274 30337at72274         -            247     0.058   11.4   0.0   2   2      0.15   1.4e+02    0.3   0.0   189   246   195   256   187   257 0.66 1_1380 # 1465009 # 1465830 # -1 # ID=1_1380;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.663
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/30337at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:06:06 2024
# [ok]
