locus_tag	ftype	length_bp	gene	EC_number	COG	product
JEDGCGCC_00035	CDS	624	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
JEDGCGCC_00036	CDS	1548				hypothetical protein
JEDGCGCC_00037	CDS	780	actIII_1	1.3.1.-		Putative ketoacyl reductase
JEDGCGCC_00038	CDS	417				hypothetical protein
JEDGCGCC_00039	CDS	909	pgrR_1			HTH-type transcriptional regulator PgrR
JEDGCGCC_00040	CDS	1929				hypothetical protein
JEDGCGCC_00041	CDS	1548	ilvA_1	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
JEDGCGCC_00042	CDS	408	yybH		COG4319	putative protein YybH
JEDGCGCC_00043	CDS	513				hypothetical protein
JEDGCGCC_00044	CDS	333				hypothetical protein
JEDGCGCC_00045	CDS	2199	bfrD_1		COG4774	putative TonB-dependent receptor BfrD
JEDGCGCC_00046	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
JEDGCGCC_00047	CDS	336	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
JEDGCGCC_00048	CDS	630	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
JEDGCGCC_00049	CDS	1977	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
JEDGCGCC_00050	CDS	996	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
JEDGCGCC_00051	CDS	1542	stp			Multidrug resistance protein Stp
JEDGCGCC_00052	CDS	615	betI_1			HTH-type transcriptional regulator BetI
JEDGCGCC_00053	CDS	387				hypothetical protein
JEDGCGCC_00054	CDS	1359	emrB_1			Multidrug export protein EmrB
JEDGCGCC_00055	CDS	912	pgrR_2			HTH-type transcriptional regulator PgrR
JEDGCGCC_00056	CDS	828	phnX_1	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
JEDGCGCC_00057	CDS	1116	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
JEDGCGCC_00058	CDS	861	cysL_1		COG0583	HTH-type transcriptional regulator CysL
JEDGCGCC_00059	CDS	525				hypothetical protein
JEDGCGCC_00060	CDS	774	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
JEDGCGCC_00061	CDS	462				hypothetical protein
JEDGCGCC_00062	CDS	474				hypothetical protein
JEDGCGCC_00063	CDS	2052	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
JEDGCGCC_00064	CDS	540	lepB_1	3.4.21.89	COG0681	Signal peptidase I
JEDGCGCC_00065	CDS	2556	tdhA		COG1629	TonB-dependent heme receptor A
JEDGCGCC_00066	CDS	984	fecR_1		COG3712	Protein FecR
JEDGCGCC_00067	CDS	528	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
JEDGCGCC_00068	CDS	450				hypothetical protein
JEDGCGCC_00069	CDS	276	rcnR		COG1937	Transcriptional repressor RcnR
JEDGCGCC_00070	CDS	963	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
JEDGCGCC_00071	CDS	933	ghrA	1.1.1.81		Glyoxylate/hydroxypyruvate reductase A
JEDGCGCC_00072	CDS	294	ycgL		COG3100	Protein YcgL
JEDGCGCC_00073	CDS	1125	rnd	3.1.13.5	COG0349	Ribonuclease D
JEDGCGCC_00074	CDS	1062				hypothetical protein
JEDGCGCC_00075	CDS	855	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
JEDGCGCC_00076	CDS	840				hypothetical protein
JEDGCGCC_00077	CDS	594	tetC_1			Transposon Tn10 TetC protein
JEDGCGCC_00078	CDS	480				hypothetical protein
JEDGCGCC_00079	tRNA	96				tRNA-Ser(cga)
JEDGCGCC_00080	CDS	555	btuE_1	1.11.1.15		Thioredoxin/glutathione peroxidase BtuE
JEDGCGCC_00081	CDS	1200				L-lactate transporter
JEDGCGCC_00082	CDS	414				hypothetical protein
JEDGCGCC_00083	CDS	1821	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
JEDGCGCC_00084	CDS	561				hypothetical protein
JEDGCGCC_00085	CDS	1506	smvA			Methyl viologen resistance protein SmvA
JEDGCGCC_00086	CDS	738	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
JEDGCGCC_00087	CDS	585	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
JEDGCGCC_00088	CDS	1056	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
JEDGCGCC_00089	CDS	522	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
JEDGCGCC_00090	CDS	1473	cobQ			Cobyric acid synthase
JEDGCGCC_00091	CDS	996	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
JEDGCGCC_00092	CDS	939	cobD		COG1270	Cobalamin biosynthesis protein CobD
JEDGCGCC_00093	CDS	657	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
JEDGCGCC_00094	CDS	1308	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
JEDGCGCC_00095	CDS	612	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
JEDGCGCC_00096	CDS	1839	btuB_1		COG4206	Vitamin B12 transporter BtuB
JEDGCGCC_00097	CDS	2061	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
JEDGCGCC_00098	CDS	669	glaR		COG1802	HTH-type transcriptional repressor GlaR
JEDGCGCC_00099	CDS	945		5.1.1.8	COG3938	4-hydroxyproline 2-epimerase
JEDGCGCC_00100	CDS	1116	hcnC_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnC
JEDGCGCC_00101	CDS	237	hcnA_1	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
JEDGCGCC_00102	CDS	1254	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
JEDGCGCC_00103	CDS	903				hypothetical protein
JEDGCGCC_00104	CDS	867	hdfR_1			HTH-type transcriptional regulator HdfR
JEDGCGCC_00105	CDS	864				hypothetical protein
JEDGCGCC_00106	CDS	1443	jefA			Drug efflux pump JefA
JEDGCGCC_00107	CDS	675	rhaS_1			HTH-type transcriptional activator RhaS
JEDGCGCC_00108	CDS	822	artI		COG0834	Putative ABC transporter arginine-binding protein 2
JEDGCGCC_00109	CDS	1743				hypothetical protein
JEDGCGCC_00110	CDS	666	yecS_1		COG0765	L-cystine transport system permease protein YecS
JEDGCGCC_00111	CDS	645	yecS_2		COG0765	L-cystine transport system permease protein YecS
JEDGCGCC_00112	CDS	723	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
JEDGCGCC_00113	CDS	1035		4.2.1.77	COG3938	putative trans-3-hydroxy-L-proline dehydratase
JEDGCGCC_00114	CDS	918	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JEDGCGCC_00115	CDS	1581		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase
JEDGCGCC_00116	CDS	1005	lhpD	1.5.1.21	COG2055	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase
JEDGCGCC_00117	CDS	1626				hypothetical protein
JEDGCGCC_00118	CDS	396	inh			Proteinase inhibitor
JEDGCGCC_00119	CDS	1440	aprA_1	3.4.24.40	COG2931	Serralysin
JEDGCGCC_00120	CDS	1446	tolC_1		COG1538	Outer membrane protein TolC
JEDGCGCC_00121	CDS	1299	prsE_1			Type I secretion system membrane fusion protein PrsE
JEDGCGCC_00122	CDS	1782	prsD_1			Type I secretion system ATP-binding protein PrsD
JEDGCGCC_00123	CDS	1245				hypothetical protein
JEDGCGCC_00124	CDS	315				hypothetical protein
JEDGCGCC_00125	CDS	2577	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JEDGCGCC_00126	CDS	1773				hypothetical protein
JEDGCGCC_00127	CDS	561	yxaF_1			putative HTH-type transcriptional regulator YxaF
JEDGCGCC_00128	CDS	798	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
JEDGCGCC_00129	CDS	885				hypothetical protein
JEDGCGCC_00130	CDS	156				hypothetical protein
JEDGCGCC_00131	CDS	1449	oprM_1		COG1538	Outer membrane protein OprM
JEDGCGCC_00132	CDS	1152	emrA_1			Colistin resistance protein EmrA
JEDGCGCC_00133	CDS	1512	emrB_2			Colistin resistance protein EmrB
JEDGCGCC_00134	CDS	783	nimR_1			HTH-type transcriptional regulator NimR
JEDGCGCC_00135	CDS	504				hypothetical protein
JEDGCGCC_00136	CDS	258				hypothetical protein
JEDGCGCC_00137	CDS	2040	aaeB_2			p-hydroxybenzoic acid efflux pump subunit AaeB
JEDGCGCC_00138	CDS	909	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
JEDGCGCC_00139	CDS	189				hypothetical protein
JEDGCGCC_00140	CDS	807	nimR_2			HTH-type transcriptional regulator NimR
JEDGCGCC_00141	CDS	351				hypothetical protein
JEDGCGCC_00142	CDS	891				hypothetical protein
JEDGCGCC_00143	CDS	609				hypothetical protein
JEDGCGCC_00144	CDS	606	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
JEDGCGCC_00145	CDS	1122	aguA_1	3.5.3.12	COG2957	Agmatine deiminase
JEDGCGCC_00146	CDS	1113	spuD_1		COG0687	Putrescine-binding periplasmic protein SpuD
JEDGCGCC_00147	CDS	912		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
JEDGCGCC_00148	CDS	1041	aguA_2	3.5.3.12	COG2957	Putative agmatine deiminase
JEDGCGCC_00149	CDS	888	gcvA_1			Glycine cleavage system transcriptional activator
JEDGCGCC_00150	CDS	171				hypothetical protein
JEDGCGCC_00151	CDS	1158	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
JEDGCGCC_00152	CDS	1821	lgrB_1			Linear gramicidin synthase subunit B
JEDGCGCC_00153	CDS	1263				hypothetical protein
JEDGCGCC_00154	CDS	615				hypothetical protein
JEDGCGCC_00155	CDS	879				hypothetical protein
JEDGCGCC_00156	CDS	1368		2.3.3.14		Homocitrate synthase
JEDGCGCC_00157	CDS	747	tam_2	2.1.1.144		Trans-aconitate 2-methyltransferase
JEDGCGCC_00158	CDS	1479	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
JEDGCGCC_00159	CDS	1599				hypothetical protein
JEDGCGCC_00160	CDS	960				hypothetical protein
JEDGCGCC_00161	CDS	1230	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
JEDGCGCC_00162	CDS	636				hypothetical protein
JEDGCGCC_00163	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
JEDGCGCC_00164	CDS	936				hypothetical protein
JEDGCGCC_00165	CDS	1500	ethA	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
JEDGCGCC_00166	CDS	1842	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
JEDGCGCC_00167	CDS	474				hypothetical protein
JEDGCGCC_00168	CDS	948				hypothetical protein
JEDGCGCC_00169	CDS	558		1.-.-.-	COG0431	NAD(P)H-dependent FMN reductase
JEDGCGCC_00170	CDS	408				hypothetical protein
JEDGCGCC_00171	CDS	618	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
JEDGCGCC_00172	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
JEDGCGCC_00173	CDS	663	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
JEDGCGCC_00174	CDS	534				hypothetical protein
JEDGCGCC_00175	CDS	612				hypothetical protein
JEDGCGCC_00176	CDS	771	cobB_1	2.3.1.286		NAD-dependent protein deacetylase
JEDGCGCC_00177	CDS	1401	rocR		COG3829	Arginine utilization regulatory protein RocR
JEDGCGCC_00178	CDS	765		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
JEDGCGCC_00179	CDS	1419	ydgI		COG0531	Putative arginine/ornithine antiporter
JEDGCGCC_00180	CDS	672				hypothetical protein
JEDGCGCC_00181	CDS	825	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
JEDGCGCC_00182	CDS	594				hypothetical protein
JEDGCGCC_00183	CDS	600	yohC_1			Inner membrane protein YohC
JEDGCGCC_00184	CDS	498	sprT			Protein SprT
JEDGCGCC_00185	CDS	1182	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
JEDGCGCC_00186	CDS	1140	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
JEDGCGCC_00187	CDS	1020	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
JEDGCGCC_00188	CDS	630	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
JEDGCGCC_00189	CDS	891	gcvA_2			Glycine cleavage system transcriptional activator
JEDGCGCC_00190	CDS	1311	dctA2		COG1301	C4-dicarboxylate transport protein 2
JEDGCGCC_00191	CDS	1002				putative HTH-type transcriptional regulator
JEDGCGCC_00192	CDS	3363	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
JEDGCGCC_00193	CDS	1347	phoQ	2.7.13.3	COG0642	Virulence sensor histidine kinase PhoQ
JEDGCGCC_00194	CDS	678	phoP			Virulence transcriptional regulatory protein PhoP
JEDGCGCC_00195	CDS	603				hypothetical protein
JEDGCGCC_00196	CDS	168				hypothetical protein
JEDGCGCC_00197	CDS	492	napF		COG1145	Ferredoxin-type protein NapF
JEDGCGCC_00198	CDS	330	napD			Chaperone NapD
JEDGCGCC_00199	CDS	2505	napA_1	1.9.6.1		Periplasmic nitrate reductase
JEDGCGCC_00200	CDS	492	napB			Periplasmic nitrate reductase, electron transfer subunit
JEDGCGCC_00201	CDS	597	napC			Cytochrome c-type protein NapC
JEDGCGCC_00202	CDS	1197				Tn3 family transposase TnXax1
JEDGCGCC_00203	CDS	735				hypothetical protein
JEDGCGCC_00204	CDS	2058	lox	1.13.11.12		Linoleate 9/13-lipoxygenase
JEDGCGCC_00205	CDS	321				hypothetical protein
JEDGCGCC_00206	CDS	672	alyA_1	4.2.2.3		Alginate lyase
JEDGCGCC_00207	CDS	789				hypothetical protein
JEDGCGCC_00208	CDS	729				hypothetical protein
JEDGCGCC_00209	CDS	813	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
JEDGCGCC_00210	CDS	2610				hypothetical protein
JEDGCGCC_00211	CDS	1152	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
JEDGCGCC_00212	CDS	804	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
JEDGCGCC_00213	CDS	384				hypothetical protein
JEDGCGCC_00214	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
JEDGCGCC_00215	CDS	1617	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JEDGCGCC_00216	CDS	711	ompR_1			Transcriptional regulatory protein OmpR
JEDGCGCC_00217	CDS	2892				hypothetical protein
JEDGCGCC_00218	CDS	1248	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
JEDGCGCC_00219	CDS	534	rayT		COG1943	REP-associated tyrosine transposase
JEDGCGCC_00220	CDS	309				IS3 family transposase IS222
JEDGCGCC_00221	CDS	822				IS3 family transposase IS222
JEDGCGCC_00222	CDS	555				hypothetical protein
JEDGCGCC_00223	CDS	2301				hypothetical protein
JEDGCGCC_00224	CDS	369				hypothetical protein
JEDGCGCC_00225	CDS	1917	eta	2.4.2.36		Exotoxin A
JEDGCGCC_00226	CDS	1491				hypothetical protein
JEDGCGCC_00227	CDS	1182	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
JEDGCGCC_00228	CDS	903	argP_1			HTH-type transcriptional regulator ArgP
JEDGCGCC_00229	CDS	1335	uhpC		COG2271	Membrane sensor protein UhpC
JEDGCGCC_00230	CDS	654	serB1	3.1.3.3	COG0560	Phosphoserine phosphatase SerB1
JEDGCGCC_00231	CDS	717	phnR_1		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
JEDGCGCC_00232	CDS	903	argP_2			HTH-type transcriptional regulator ArgP
JEDGCGCC_00233	CDS	837	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
JEDGCGCC_00234	CDS	849				hypothetical protein
JEDGCGCC_00235	CDS	876	dmlR_2			HTH-type transcriptional regulator DmlR
JEDGCGCC_00236	CDS	1017	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
JEDGCGCC_00237	CDS	789	rpaR		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
JEDGCGCC_00238	CDS	876	hchA	3.1.2.-		Protein/nucleic acid deglycase HchA
JEDGCGCC_00239	CDS	414				hypothetical protein
JEDGCGCC_00240	CDS	351				hypothetical protein
JEDGCGCC_00241	CDS	780				hypothetical protein
JEDGCGCC_00242	CDS	1269	tetA_1			Tetracycline resistance protein, class C
JEDGCGCC_00243	CDS	978				hypothetical protein
JEDGCGCC_00244	CDS	408	fosA	2.5.1.18	COG0346	Glutathione transferase FosA
JEDGCGCC_00245	CDS	912	pgrR_3			HTH-type transcriptional regulator PgrR
JEDGCGCC_00246	CDS	990	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
JEDGCGCC_00247	CDS	588				hypothetical protein
JEDGCGCC_00248	CDS	753	cobB_2	2.3.1.286	COG0846	NAD-dependent protein deacylase
JEDGCGCC_00249	CDS	1497	dgt_1	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
JEDGCGCC_00250	CDS	321				hypothetical protein
JEDGCGCC_00251	CDS	540	def_1	3.5.1.88	COG0242	Peptide deformylase
JEDGCGCC_00252	CDS	573				hypothetical protein
JEDGCGCC_00253	CDS	1308	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
JEDGCGCC_00254	CDS	507	pal_1			Peptidoglycan-associated lipoprotein
JEDGCGCC_00255	CDS	555				hypothetical protein
JEDGCGCC_00256	CDS	375				hypothetical protein
JEDGCGCC_00257	CDS	840	cvfB		COG2996	Conserved virulence factor B
JEDGCGCC_00258	CDS	2325	mdoB_1	2.7.8.20		Phosphoglycerol transferase I
JEDGCGCC_00259	CDS	336				hypothetical protein
JEDGCGCC_00260	CDS	1767		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
JEDGCGCC_00261	CDS	192				hypothetical protein
JEDGCGCC_00262	CDS	222			COG4628	DNA-binding protein
JEDGCGCC_00263	CDS	1149	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
JEDGCGCC_00264	CDS	624				hypothetical protein
JEDGCGCC_00265	CDS	711	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
JEDGCGCC_00266	CDS	780	nimR_3			HTH-type transcriptional regulator NimR
JEDGCGCC_00267	CDS	1158	ydhC			Inner membrane transport protein YdhC
JEDGCGCC_00268	CDS	1197				hypothetical protein
JEDGCGCC_00269	CDS	714				hypothetical protein
JEDGCGCC_00270	CDS	444	fliJ		COG2882	Flagellar FliJ protein
JEDGCGCC_00271	CDS	1356	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
JEDGCGCC_00272	CDS	807				hypothetical protein
JEDGCGCC_00273	CDS	1017	fliG		COG1536	Flagellar motor switch protein FliG
JEDGCGCC_00274	CDS	1797				hypothetical protein
JEDGCGCC_00275	CDS	330	fliE		COG1677	Flagellar hook-basal body complex protein FliE
JEDGCGCC_00276	CDS	1416	atoC_1		COG2204	Regulatory protein AtoC
JEDGCGCC_00277	CDS	1209	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
JEDGCGCC_00278	CDS	1473	atoC_2		COG2204	Regulatory protein AtoC
JEDGCGCC_00279	CDS	294				hypothetical protein
JEDGCGCC_00280	CDS	381	fliS_1		COG1516	Flagellar secretion chaperone FliS
JEDGCGCC_00281	CDS	399	fliS_2		COG1516	Flagellar secretion chaperone FliS
JEDGCGCC_00282	CDS	1437	fliD		COG1345	B-type flagellar hook-associated protein 2
JEDGCGCC_00283	CDS	387				hypothetical protein
JEDGCGCC_00284	CDS	1164	fliC			A-type flagellin
JEDGCGCC_00285	CDS	3507				hypothetical protein
JEDGCGCC_00286	CDS	1149				hypothetical protein
JEDGCGCC_00287	CDS	615	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
JEDGCGCC_00288	CDS	1131		1.14.13.239		Carnitine monooxygenase oxygenase subunit
JEDGCGCC_00289	CDS	633	perB	2.3.1.227	COG0110	GDP-perosamine N-acetyltransferase
JEDGCGCC_00290	CDS	768	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
JEDGCGCC_00291	CDS	1041	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
JEDGCGCC_00292	CDS	225				hypothetical protein
JEDGCGCC_00293	CDS	1137	vioA	2.6.1.33		dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
JEDGCGCC_00294	CDS	1302				hypothetical protein
JEDGCGCC_00295	CDS	2049				hypothetical protein
JEDGCGCC_00296	CDS	1203				hypothetical protein
JEDGCGCC_00297	CDS	1110	flgI			Flagellar P-ring protein
JEDGCGCC_00298	CDS	696	flgH			Flagellar L-ring protein
JEDGCGCC_00299	CDS	786	flgG		COG4786	Flagellar basal-body rod protein FlgG
JEDGCGCC_00300	CDS	750	flgF		COG4787	Flagellar basal-body rod protein FlgF
JEDGCGCC_00301	CDS	1389	flgE		COG1749	Flagellar hook protein FlgE
JEDGCGCC_00302	CDS	714	flgD		COG1843	Basal-body rod modification protein FlgD
JEDGCGCC_00303	CDS	441	flgC		COG1558	Flagellar basal-body rod protein FlgC
JEDGCGCC_00304	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
JEDGCGCC_00305	CDS	363				hypothetical protein
JEDGCGCC_00306	CDS	318				hypothetical protein
JEDGCGCC_00307	CDS	1122	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
JEDGCGCC_00308	CDS	924	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
JEDGCGCC_00309	CDS	1254				hypothetical protein
JEDGCGCC_00310	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JEDGCGCC_00311	CDS	702	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
JEDGCGCC_00312	CDS	2295				hypothetical protein
JEDGCGCC_00313	CDS	1842	htpG_1			Chaperone protein HtpG
JEDGCGCC_00314	CDS	915	dmlR_3			HTH-type transcriptional regulator DmlR
JEDGCGCC_00315	CDS	600				hypothetical protein
JEDGCGCC_00316	CDS	399				hypothetical protein
JEDGCGCC_00317	CDS	666				hypothetical protein
JEDGCGCC_00318	CDS	252				hypothetical protein
JEDGCGCC_00319	CDS	522				hypothetical protein
JEDGCGCC_00320	CDS	1098	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
JEDGCGCC_00321	CDS	906				hypothetical protein
JEDGCGCC_00322	CDS	348	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
JEDGCGCC_00323	CDS	270	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
JEDGCGCC_00324	CDS	525	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
JEDGCGCC_00325	CDS	1500	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
JEDGCGCC_00326	CDS	339	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
JEDGCGCC_00327	CDS	2802	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
JEDGCGCC_00328	CDS	465	slyB		COG3133	Outer membrane lipoprotein SlyB
JEDGCGCC_00329	CDS	243				hypothetical protein
JEDGCGCC_00330	CDS	1146	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
JEDGCGCC_00331	CDS	1359	dsdX		COG2610	D-serine transporter DsdX
JEDGCGCC_00332	CDS	1113	cdaR		COG3835	Carbohydrate diacid regulator
JEDGCGCC_00333	CDS	648	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
JEDGCGCC_00334	CDS	882	pal_2			Peptidoglycan-associated lipoprotein
JEDGCGCC_00335	CDS	1146	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
JEDGCGCC_00336	CDS	2250				hypothetical protein
JEDGCGCC_00337	CDS	2145	dinG_1	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
JEDGCGCC_00338	CDS	465				hypothetical protein
JEDGCGCC_00339	CDS	810				hypothetical protein
JEDGCGCC_00340	CDS	300				hypothetical protein
JEDGCGCC_00341	CDS	633	pal_3			Peptidoglycan-associated lipoprotein
JEDGCGCC_00342	CDS	498				hypothetical protein
JEDGCGCC_00343	CDS	474				hypothetical protein
JEDGCGCC_00344	CDS	318				hypothetical protein
JEDGCGCC_00345	CDS	621				hypothetical protein
JEDGCGCC_00346	CDS	561				hypothetical protein
JEDGCGCC_00347	CDS	495				hypothetical protein
