#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:3266091-3267089|+  -            333 31831at72274         -            282    2e-107  357.0   0.0   1   1    4e-110  2.4e-107  356.8   0.0     2   282     7   325     6   325 0.91 1_3026 # 3266091 # 3267089 # 1 # ID=1_3026;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.708
1:6270809-6271756|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   3   3      0.83   4.9e+02   -1.9   0.0   227   254   243   269   236   291 0.79 1_5730 # 6270809 # 6271756 # -1 # ID=1_5730;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
1:5833943-5835721|-  -            593 31831at72274         -            282     0.016   12.8   0.0   1   1   4.6e-05     0.027   12.0   0.0    28   118    12   106     4   112 0.80 1_5333 # 5833943 # 5835721 # -1 # ID=1_5333;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.698
1:4431340-4432026|+  -            229 31831at72274         -            282     0.029   12.0   0.2   1   1   0.00014     0.085   10.4   0.2    48    78    24    54    20   190 0.85 1_4070 # 4431340 # 4432026 # 1 # ID=1_4070;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672
1:4289675-4290646|+  -            324 31831at72274         -            282     0.052   11.1   0.0   1   1   0.00011     0.067   10.8   0.0    54   162    37   146    12   204 0.81 1_3957 # 4289675 # 4290646 # 1 # ID=1_3957;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.664
1:6065087-6065944|+  -            286 31831at72274         -            282     0.082   10.5   0.1   1   2     0.058        34    1.9   0.1    51    90    66   106    56   166 0.70 1_5546 # 6065087 # 6065944 # 1 # ID=1_5546;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
1:6065087-6065944|+  -            286 31831at72274         -            282     0.082   10.5   0.1   2   2     0.003       1.8    6.1   0.0   230   252   209   231   200   240 0.86 1_5546 # 6065087 # 6065944 # 1 # ID=1_5546;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/31831at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:47:23 2024
# [ok]
