locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCACPHNA_00060	CDS	966	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
NCACPHNA_00061	CDS	2427	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
NCACPHNA_00062	CDS	1653	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
NCACPHNA_00063	CDS	876	purN_1	2.1.2.2		Phosphoribosylglycinamide formyltransferase
NCACPHNA_00064	CDS	855	egtB	1.14.99.50		Hercynine oxygenase
NCACPHNA_00065	CDS	1284	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
NCACPHNA_00066	CDS	1347				hypothetical protein
NCACPHNA_00067	CDS	1647				hypothetical protein
NCACPHNA_00068	CDS	1419	ttgF_1			Toluene efflux pump outer membrane protein TtgF
NCACPHNA_00069	CDS	1992	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
NCACPHNA_00070	CDS	1176	macA		COG0845	Macrolide export protein MacA
NCACPHNA_00071	CDS	996				hypothetical protein
NCACPHNA_00072	CDS	480	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
NCACPHNA_00073	CDS	1332	pvdA	1.14.13.195	COG3486	L-ornithine N(5)-monooxygenase
NCACPHNA_00074	CDS	2289	pvdQ	3.5.1.97	COG2366	Acyl-homoserine lactone acylase PvdQ
NCACPHNA_00075	CDS	324				hypothetical protein
NCACPHNA_00076	CDS	921	gcvA_1			Glycine cleavage system transcriptional activator
NCACPHNA_00077	CDS	1152	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
NCACPHNA_00078	CDS	243				hypothetical protein
NCACPHNA_00079	CDS	243				hypothetical protein
NCACPHNA_00080	CDS	471	iorA_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
NCACPHNA_00081	CDS	2316	iorB_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
NCACPHNA_00082	CDS	1206				hypothetical protein
NCACPHNA_00083	CDS	642	degU_1		COG2197	Transcriptional regulatory protein DegU
NCACPHNA_00084	CDS	396				hypothetical protein
NCACPHNA_00085	CDS	537				hypothetical protein
NCACPHNA_00086	CDS	2007	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
NCACPHNA_00087	CDS	1068				hypothetical protein
NCACPHNA_00088	CDS	426				hypothetical protein
NCACPHNA_00089	CDS	2550	clpV1_1		COG0542	Protein ClpV1
NCACPHNA_00090	CDS	1017				hypothetical protein
NCACPHNA_00091	CDS	1794				hypothetical protein
NCACPHNA_00092	CDS	426				hypothetical protein
NCACPHNA_00093	CDS	498	hcp1_1		COG3157	Protein hcp1
NCACPHNA_00094	CDS	1485				hypothetical protein
NCACPHNA_00095	CDS	546				hypothetical protein
NCACPHNA_00096	CDS	477				hypothetical protein
NCACPHNA_00097	CDS	1332				hypothetical protein
NCACPHNA_00098	CDS	759				hypothetical protein
NCACPHNA_00099	CDS	3816				hypothetical protein
NCACPHNA_00100	CDS	1101				hypothetical protein
NCACPHNA_00101	CDS	1086	sfnR_1		COG1221	Sigma54-dependent transcriptional activator SfnR
NCACPHNA_00102	CDS	267				hypothetical protein
NCACPHNA_00103	CDS	561	sfnF	1.5.1.42	COG0431	NADH-dependent FMN reductase SfnF
NCACPHNA_00104	CDS	1146	msuD_1	1.14.14.5	COG2141	Methanesulfonate monooxygenase
NCACPHNA_00105	CDS	1185	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
NCACPHNA_00106	CDS	1131	sfnR_2		COG1221	Sigma54-dependent transcriptional activator SfnR
NCACPHNA_00107	CDS	1155	zapE_1		COG1485	Cell division protein ZapE
NCACPHNA_00108	CDS	1128	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
NCACPHNA_00109	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
NCACPHNA_00110	CDS	1101	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
NCACPHNA_00111	CDS	795	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
NCACPHNA_00112	CDS	1389	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
NCACPHNA_00113	CDS	1218	soxC_1			Dibenzothiophene desulfurization enzyme C
NCACPHNA_00114	CDS	1236	soxC_2			Dibenzothiophene desulfurization enzyme C
NCACPHNA_00115	CDS	1236				hypothetical protein
NCACPHNA_00116	CDS	933	RBKS	2.7.1.15		Ribokinase
NCACPHNA_00117	CDS	1491	xylB_1	2.7.1.17	COG1070	Xylulose kinase
NCACPHNA_00118	CDS	1476	por	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
NCACPHNA_00119	CDS	1113	malK	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
NCACPHNA_00120	CDS	834	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
NCACPHNA_00121	CDS	933	lacF			Lactose transport system permease protein LacF
NCACPHNA_00122	CDS	1311				hypothetical protein
NCACPHNA_00123	CDS	906	rhaS_1			HTH-type transcriptional activator RhaS
NCACPHNA_00124	CDS	906	mtrA_1			HTH-type transcriptional regulator MtrA
NCACPHNA_00125	CDS	561				hypothetical protein
NCACPHNA_00126	CDS	1068				hypothetical protein
NCACPHNA_00127	CDS	837	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
NCACPHNA_00128	CDS	1200				hypothetical protein
NCACPHNA_00129	CDS	765	cmpB		COG0600	Bicarbonate transport system permease protein CmpB
NCACPHNA_00130	CDS	1410	dmoA_2	1.14.13.131		Dimethyl-sulfide monooxygenase
NCACPHNA_00131	CDS	1236	soxC_3			Dibenzothiophene desulfurization enzyme C
NCACPHNA_00132	CDS	1260	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
NCACPHNA_00133	CDS	1626	gapN	1.2.1.9	COG1012	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
NCACPHNA_00134	CDS	144				hypothetical protein
NCACPHNA_00135	CDS	1353	gntT		COG2610	High-affinity gluconate transporter
NCACPHNA_00136	CDS	522		2.7.1.12	COG3265	Gluconokinase
NCACPHNA_00137	CDS	1032	gntR_1			HTH-type transcriptional regulator GntR
NCACPHNA_00138	CDS	366				hypothetical protein
NCACPHNA_00139	CDS	1299	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
NCACPHNA_00140	CDS	894	pgrR_1			HTH-type transcriptional regulator PgrR
NCACPHNA_00141	CDS	1176	estB_1	3.1.1.-	COG1680	Esterase EstB
NCACPHNA_00142	CDS	1254	pbuE_1		COG2814	Purine efflux pump PbuE
NCACPHNA_00143	CDS	504				hypothetical protein
NCACPHNA_00144	CDS	633	sutR_1		COG1396	HTH-type transcriptional regulator SutR
NCACPHNA_00145	CDS	159				hypothetical protein
NCACPHNA_00146	CDS	888	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
NCACPHNA_00147	CDS	1023				hypothetical protein
NCACPHNA_00148	CDS	849	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
NCACPHNA_00149	CDS	867				hypothetical protein
NCACPHNA_00150	CDS	618	eamB		COG1280	Cysteine/O-acetylserine efflux protein
NCACPHNA_00151	CDS	3750	lgrB_2			Linear gramicidin synthase subunit B
NCACPHNA_00152	CDS	1089				hypothetical protein
NCACPHNA_00153	CDS	1020				hypothetical protein
NCACPHNA_00154	CDS	6378	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
NCACPHNA_00155	CDS	543				hypothetical protein
NCACPHNA_00156	CDS	1452				hypothetical protein
NCACPHNA_00157	CDS	750	nagR_1		COG2188	HTH-type transcriptional repressor NagR
NCACPHNA_00158	CDS	1725	aprA_1	1.8.99.2		Adenylylsulfate reductase subunit alpha
NCACPHNA_00159	CDS	246				hypothetical protein
NCACPHNA_00160	CDS	207				hypothetical protein
NCACPHNA_00161	CDS	966				hypothetical protein
NCACPHNA_00162	CDS	282				hypothetical protein
NCACPHNA_00163	CDS	1359	oprB_1		COG3659	Porin B
NCACPHNA_00164	CDS	2412	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
NCACPHNA_00165	CDS	2121	btuB_1			Vitamin B12 transporter BtuB
NCACPHNA_00166	CDS	288				hypothetical protein
NCACPHNA_00167	CDS	636				hypothetical protein
NCACPHNA_00168	CDS	1545	htpX_1	3.4.24.-		Protease HtpX
NCACPHNA_00169	CDS	663				hypothetical protein
NCACPHNA_00170	CDS	672				hypothetical protein
NCACPHNA_00171	CDS	1458				hypothetical protein
NCACPHNA_00172	CDS	429				hypothetical protein
NCACPHNA_00173	CDS	945				hypothetical protein
NCACPHNA_00174	CDS	693	arsH_1	1.-.-.-	COG0431	NADPH-dependent FMN reductase ArsH
NCACPHNA_00175	CDS	471	arsC_1	1.20.4.1		Glutaredoxin arsenate reductase
NCACPHNA_00176	CDS	1284	arsB		COG1055	Arsenical pump membrane protein
NCACPHNA_00177	CDS	351	arsR2		COG0640	Arsenic resistance transcriptional regulator ArsR2
NCACPHNA_00178	CDS	891	rhaS_2			HTH-type transcriptional activator RhaS
NCACPHNA_00179	CDS	1062	adhA	1.1.1.-	COG1064	putative formaldehyde dehydrogenase AdhA
NCACPHNA_00180	CDS	378				hypothetical protein
NCACPHNA_00181	CDS	471	soxR_1		COG0789	Redox-sensitive transcriptional activator SoxR
NCACPHNA_00182	CDS	1698	pbpC	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PbpC
NCACPHNA_00183	CDS	516				hypothetical protein
NCACPHNA_00184	CDS	591	tetC_1			Transposon Tn10 TetC protein
NCACPHNA_00185	CDS	1206				hypothetical protein
NCACPHNA_00186	CDS	1071	pyrG_1	6.3.4.2		CTP synthase
NCACPHNA_00187	CDS	897				hypothetical protein
NCACPHNA_00188	CDS	1320		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
NCACPHNA_00189	CDS	1776		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
NCACPHNA_00190	CDS	717		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
NCACPHNA_00191	CDS	987	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
NCACPHNA_00192	CDS	1308	ttuB			Putative tartrate transporter
NCACPHNA_00193	CDS	951	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
NCACPHNA_00194	CDS	783				hypothetical protein
NCACPHNA_00195	CDS	1023	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
NCACPHNA_00196	CDS	939	pgrR_2			HTH-type transcriptional regulator PgrR
NCACPHNA_00197	CDS	648	cc4_1		COG2863	Cytochrome c4
NCACPHNA_00198	CDS	1503	hpaB_1	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
NCACPHNA_00199	CDS	876				hypothetical protein
NCACPHNA_00200	CDS	987				hypothetical protein
NCACPHNA_00201	CDS	987	ansA	3.5.1.1	COG0252	L-asparaginase 1
NCACPHNA_00202	CDS	1446	alsT_1		COG1115	Amino-acid carrier protein AlsT
NCACPHNA_00203	CDS	819				hypothetical protein
NCACPHNA_00204	CDS	1395	lpdV	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NCACPHNA_00205	CDS	1287	bkdB	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
NCACPHNA_00206	CDS	1053	bkdA2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
NCACPHNA_00207	CDS	1233	bkdA1	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
NCACPHNA_00208	CDS	129				hypothetical protein
NCACPHNA_00209	CDS	462	lrp_1		COG1522	Leucine-responsive regulatory protein
NCACPHNA_00210	CDS	294				hypothetical protein
NCACPHNA_00211	CDS	1002				hypothetical protein
NCACPHNA_00212	CDS	1734	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
NCACPHNA_00213	CDS	1068				hypothetical protein
NCACPHNA_00214	CDS	1410	murJ_1			lipid II flippase MurJ
NCACPHNA_00215	CDS	1437				hypothetical protein
NCACPHNA_00216	CDS	1104				hypothetical protein
NCACPHNA_00217	CDS	1209				hypothetical protein
NCACPHNA_00218	CDS	1329				hypothetical protein
NCACPHNA_00219	CDS	1188	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
NCACPHNA_00220	CDS	1989				hypothetical protein
NCACPHNA_00221	CDS	795				hypothetical protein
NCACPHNA_00222	CDS	912				hypothetical protein
NCACPHNA_00223	CDS	1467	algA_1		COG0662	Alginate biosynthesis protein AlgA
NCACPHNA_00224	CDS	1437				hypothetical protein
NCACPHNA_00225	CDS	597				hypothetical protein
NCACPHNA_00226	CDS	720	yiiM_1		COG2258	Protein YiiM
NCACPHNA_00227	CDS	741	golD	1.1.1.6		NAD-dependent glycerol dehydrogenase
NCACPHNA_00228	CDS	363				hypothetical protein
NCACPHNA_00229	CDS	969			COG2220	putative protein
NCACPHNA_00230	CDS	5841				hypothetical protein
NCACPHNA_00231	CDS	2136				hypothetical protein
NCACPHNA_00232	CDS	2553				hypothetical protein
NCACPHNA_00233	CDS	1140				hypothetical protein
NCACPHNA_00234	CDS	309				IS3 family transposase IS222
NCACPHNA_00235	CDS	822				IS3 family transposase IS222
NCACPHNA_00236	CDS	261				hypothetical protein
NCACPHNA_00237	CDS	147				hypothetical protein
NCACPHNA_00238	CDS	1233				hypothetical protein
NCACPHNA_00239	CDS	93				hypothetical protein
NCACPHNA_00240	CDS	345				hypothetical protein
NCACPHNA_00241	CDS	231				hypothetical protein
NCACPHNA_00242	CDS	1479				hypothetical protein
NCACPHNA_00243	CDS	312				hypothetical protein
NCACPHNA_00244	CDS	1281				hypothetical protein
NCACPHNA_00245	CDS	261				hypothetical protein
NCACPHNA_00246	CDS	147				hypothetical protein
NCACPHNA_00247	CDS	1233				hypothetical protein
NCACPHNA_00248	CDS	93				hypothetical protein
NCACPHNA_00249	CDS	345				hypothetical protein
NCACPHNA_00250	CDS	231				hypothetical protein
NCACPHNA_00251	CDS	1479				hypothetical protein
NCACPHNA_00252	CDS	312				hypothetical protein
NCACPHNA_00253	CDS	1281				hypothetical protein
NCACPHNA_00254	CDS	261				hypothetical protein
NCACPHNA_00255	CDS	147				hypothetical protein
NCACPHNA_00256	CDS	1233				hypothetical protein
NCACPHNA_00257	CDS	93				hypothetical protein
NCACPHNA_00258	CDS	345				hypothetical protein
NCACPHNA_00259	CDS	231				hypothetical protein
NCACPHNA_00260	CDS	1479				hypothetical protein
NCACPHNA_00261	CDS	312				hypothetical protein
NCACPHNA_00262	CDS	1281				hypothetical protein
NCACPHNA_00263	CDS	246				hypothetical protein
NCACPHNA_00264	CDS	264				IS3 family transposase ISPa32
NCACPHNA_00265	CDS	843				IS3 family transposase ISPa32
NCACPHNA_00266	CDS	543				hypothetical protein
NCACPHNA_00267	CDS	1200				hypothetical protein
NCACPHNA_00268	CDS	867				hypothetical protein
NCACPHNA_00269	CDS	1431				IS1182 family transposase ISPa7
NCACPHNA_00270	CDS	918	hcf136_1			Ycf48-like protein
NCACPHNA_00271	CDS	2403	mdtC_1			Multidrug resistance protein MdtC
NCACPHNA_00272	CDS	1647				hypothetical protein
NCACPHNA_00273	CDS	1425				putative protein
NCACPHNA_00274	CDS	663				hypothetical protein
NCACPHNA_00275	CDS	1368	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
NCACPHNA_00276	CDS	888				hypothetical protein
NCACPHNA_00277	CDS	582				hypothetical protein
NCACPHNA_00278	CDS	1527		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
NCACPHNA_00279	CDS	876	rdmC_1	3.1.1.95		Aclacinomycin methylesterase RdmC
NCACPHNA_00280	CDS	1158	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
NCACPHNA_00281	CDS	1332	puuP_1		COG0531	Putrescine importer PuuP
NCACPHNA_00282	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
NCACPHNA_00283	CDS	1254	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
NCACPHNA_00284	CDS	960		1.1.1.373		3-sulfolactaldehyde reductase
NCACPHNA_00285	CDS	153				hypothetical protein
NCACPHNA_00286	CDS	1659	actP_1		COG4147	Cation/acetate symporter ActP
NCACPHNA_00287	CDS	324	yjcH_1		COG3162	Inner membrane protein YjcH
NCACPHNA_00288	CDS	1650		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NCACPHNA_00289	CDS	531	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
NCACPHNA_00290	CDS	126				hypothetical protein
NCACPHNA_00291	CDS	1173	carC	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
NCACPHNA_00292	CDS	357				hypothetical protein
NCACPHNA_00293	CDS	1056				hypothetical protein
NCACPHNA_00294	CDS	1953	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
NCACPHNA_00295	CDS	504				hypothetical protein
NCACPHNA_00296	CDS	2304	yebT_1		COG3008	Intermembrane transport protein YebT
NCACPHNA_00297	CDS	621	pqiA_1		COG2995	Intermembrane transport protein PqiA
NCACPHNA_00298	CDS	1584		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase
NCACPHNA_00299	CDS	996				hypothetical protein
NCACPHNA_00300	CDS	1176	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
NCACPHNA_00301	CDS	1323	rhmT			Inner membrane transport protein RhmT
NCACPHNA_00302	CDS	1251	nicP_1			Porin-like protein NicP
NCACPHNA_00303	CDS	1014	pdxA2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
NCACPHNA_00304	CDS	960				hypothetical protein
NCACPHNA_00305	CDS	1326	garP			putative galactarate transporter
NCACPHNA_00306	CDS	1014				hypothetical protein
NCACPHNA_00307	CDS	531				hypothetical protein
NCACPHNA_00308	CDS	1521				hypothetical protein
NCACPHNA_00309	CDS	948	gbpR_1			HTH-type transcriptional regulator GbpR
NCACPHNA_00310	CDS	477				hypothetical protein
NCACPHNA_00311	CDS	807	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
NCACPHNA_00312	CDS	717	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
NCACPHNA_00313	CDS	678	yecS_1		COG0765	L-cystine transport system permease protein YecS
NCACPHNA_00314	CDS	885				hypothetical protein
NCACPHNA_00315	CDS	1596	pdeB_1	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
NCACPHNA_00316	CDS	876	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
NCACPHNA_00317	CDS	345				hypothetical protein
NCACPHNA_00318	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
NCACPHNA_00319	CDS	585	nemR_1			HTH-type transcriptional repressor NemR
NCACPHNA_00320	CDS	1254	hcnC_1	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
NCACPHNA_00321	CDS	1395	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
NCACPHNA_00322	CDS	315	hcnA_1	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
NCACPHNA_00323	CDS	267				hypothetical protein
NCACPHNA_00324	CDS	414	hrp1_1		COG0517	Hypoxic response protein 1
NCACPHNA_00325	CDS	747				hypothetical protein
NCACPHNA_00326	CDS	360				hypothetical protein
NCACPHNA_00327	CDS	555	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
NCACPHNA_00328	CDS	423				hypothetical protein
NCACPHNA_00329	CDS	1215	gshA_1	6.3.2.2		Glutamate--cysteine ligase
NCACPHNA_00330	CDS	1377				hypothetical protein
NCACPHNA_00331	CDS	951	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
NCACPHNA_00332	CDS	231				hypothetical protein
NCACPHNA_00333	CDS	609	yohC_1			Inner membrane protein YohC
NCACPHNA_00334	CDS	1953	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
NCACPHNA_00335	CDS	591				hypothetical protein
NCACPHNA_00336	CDS	348				hypothetical protein
NCACPHNA_00337	CDS	264				hypothetical protein
NCACPHNA_00338	CDS	222				hypothetical protein
NCACPHNA_00339	CDS	351				hypothetical protein
NCACPHNA_00340	CDS	1077				hypothetical protein
NCACPHNA_00341	CDS	471			COG5592	DNA nickase
NCACPHNA_00342	CDS	453				hypothetical protein
NCACPHNA_00343	CDS	777				hypothetical protein
NCACPHNA_00344	CDS	1098				hypothetical protein
NCACPHNA_00345	CDS	366				hypothetical protein
NCACPHNA_00346	CDS	1605	glgA	2.4.1.21	COG0297	Glycogen synthase
NCACPHNA_00347	CDS	1755	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
NCACPHNA_00348	CDS	4827				hypothetical protein
NCACPHNA_00349	CDS	306				hypothetical protein
NCACPHNA_00350	CDS	2151	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
NCACPHNA_00351	CDS	417	hrp1_2		COG0517	Hypoxic response protein 1
NCACPHNA_00352	CDS	1248		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
NCACPHNA_00353	CDS	939				hypothetical protein
NCACPHNA_00354	CDS	738				hypothetical protein
NCACPHNA_00355	CDS	1206	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
NCACPHNA_00356	CDS	996	ybhN		COG0392	Inner membrane protein YbhN
NCACPHNA_00357	CDS	2199	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
NCACPHNA_00358	CDS	3303		2.7.1.8		Glucosamine kinase
NCACPHNA_00359	CDS	1995	glgE2	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 2
NCACPHNA_00360	CDS	882	ku		COG1273	Non-homologous end joining protein Ku
NCACPHNA_00361	CDS	243				hypothetical protein
NCACPHNA_00362	CDS	492				hypothetical protein
NCACPHNA_00363	CDS	135				hypothetical protein
NCACPHNA_00364	CDS	2130	katE	1.11.1.6	COG0753	Catalase HPII
NCACPHNA_00365	CDS	168				hypothetical protein
NCACPHNA_00366	CDS	165				hypothetical protein
NCACPHNA_00367	CDS	399				hypothetical protein
NCACPHNA_00368	CDS	2439	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
NCACPHNA_00369	CDS	288				hypothetical protein
NCACPHNA_00370	CDS	189				hypothetical protein
NCACPHNA_00371	CDS	861	ydaD	1.-.-.-		General stress protein 39
NCACPHNA_00372	CDS	519	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
NCACPHNA_00373	CDS	240				hypothetical protein
NCACPHNA_00374	CDS	216				hypothetical protein
NCACPHNA_00375	CDS	2523	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
NCACPHNA_00376	CDS	390				hypothetical protein
NCACPHNA_00377	CDS	525				hypothetical protein
NCACPHNA_00378	CDS	450				hypothetical protein
NCACPHNA_00379	CDS	1365				hypothetical protein
NCACPHNA_00380	CDS	525				hypothetical protein
NCACPHNA_00381	CDS	858	pdeB_2	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
NCACPHNA_00382	CDS	648	yadV_1			putative fimbrial chaperone YadV
NCACPHNA_00383	CDS	1362				hypothetical protein
